agriculture,industry,services,gdp_log,year,country,unemployment_rate,target
21.7796340911024,23.6102503285156,54.6101204519704,24.506458692724618,2002,Ukraine,10.136,10.136
3.64349357491456,17.050355954211,79.3061504708744,23.769998320318766,2016,Cyprus,13.006,13.006
63.4089826496746,14.5670397549366,22.0239775953888,26.32207787496602,1991,India,7.722,7.722
26.0738119645477,28.4045252287532,45.5216746975474,25.270482178210603,2017,Sri Lanka,4.046,4.046
33.0438540312869,22.038455951212,44.9176900175011,27.481191027026426,2015,Indonesia,4.514,4.514
2.19168544276048,18.9097635451721,78.8985864275226,26.596209693341322,2018,Denmark,5.131,5.131
5.34699826834016,24.6038828564019,70.049122477854,28.22899576599464,2021,"Korea, Rep.",3.639,3.639
4.29791774334708,19.7507540799384,75.9513339776641,27.94011255591211,2013,Spain,26.094,26.094
28.824982182145,26.6918285767407,44.4831892411143,23.609288855900893,1995,Serbia,13.4,13.4
6.65091510618228,37.2577207536511,56.0913641401666,24.09797296308993,2000,Slovak Republic,18.546,18.546
38.5491280111224,12.625504719436,48.8253931740768,24.221269836742596,2007,Azerbaijan,6.33,6.33
55.9482628834734,6.72562324237465,37.3261138741519,22.638474182934512,2015,Sierra Leone,4.606,4.606
53.7008593182656,11.1950302897624,35.1041496248746,21.537359839825637,1992,Haiti,7.428,7.428
21.6564793301764,20.2067836633096,58.136759195507,24.23750912587215,2002,Cuba,3.31,3.31
8.63017195368157,19.2339823173137,72.1358457290047,21.5373796387437,2005,Montenegro,30.31,30.31
48.9999556359089,13.0506349782044,37.949455122063,21.22159191637766,1998,Kyrgyz Republic,1.632,1.632
12.8538823242698,22.4731209744117,64.6729678943892,24.506670128689347,2007,Dominican Republic,5.158,5.158
38.6722454305054,22.8619028114398,38.4658517580549,23.631172524989186,1999,Guatemala,2.567,2.567
13.9713704639798,31.8898758799157,54.1387536561045,27.00667591255912,2008,Poland,7.069,7.069
3.85756769447488,32.0081389888872,64.1346063546721,22.927062149231165,1996,Qatar,0.87,0.87
14.6397876950795,20.7630316753098,64.5971806296107,20.125247340058063,2004,St. Vincent and the Grenadines,19.523,19.523
7.56235346656247,25.9805738528525,66.457072680585,22.108609463154693,2018,Suriname,7.693,7.693
15.5551658482814,20.5832247720212,63.8616093796974,20.00534193860565,2002,St. Vincent and the Grenadines,20.617,20.617
21.2768964278071,24.1501556550635,54.5729479171293,21.727923278942935,2007,Guyana,10.846,10.846
